prob ; n minterms f ; n minterms d ; prime comp. time ; min cover comp. time ; total time ; sol. size
0.05 ; 3.2 ; 0 ; 9.2e-06 ; 8.45e-06 ; 1.765e-05 ; 2.65
0.1 ; 6.4 ; 0 ; 1.46e-05 ; 1.185e-05 ; 2.645e-05 ; 4.65
0.15 ; 9.6 ; 0 ; 2.115e-05 ; 2.255e-05 ; 4.37e-05 ; 7.45
0.2 ; 12.8 ; 0 ; 3.705e-05 ; 3.31e-05 ; 7.015e-05 ; 8.7
0.25 ; 16 ; 0 ; 5.145e-05 ; 4.805e-05 ; 9.95e-05 ; 10.8
0.3 ; 19.2 ; 0 ; 9.675e-05 ; 6.555e-05 ; 0.0001623 ; 10.95
0.35 ; 22.4 ; 0 ; 0.0001543 ; 0.0001874 ; 0.0003417 ; 12.45
0.4 ; 25.6 ; 0 ; 0.00016785 ; 0.00017345 ; 0.0003413 ; 12.1
0.45 ; 28.8 ; 0 ; 0.0003258 ; 0.00026665 ; 0.00059245 ; 13.3
0.5 ; 32 ; 0 ; 0.00021025 ; 0.0001728 ; 0.00038305 ; 14.2
0.55 ; 35.2 ; 0 ; 0.0002371 ; 0.000197 ; 0.0004341 ; 13.7
0.6 ; 38.4 ; 0 ; 0.00030855 ; 0.00024205 ; 0.0005506 ; 14.1
0.65 ; 41.6 ; 0 ; 0.00037875 ; 0.0003431 ; 0.00072185 ; 13.95
0.7 ; 44.8 ; 0 ; 0.00058695 ; 0.0012283 ; 0.00181525 ; 12.6
0.75 ; 48 ; 0 ; 0.00067885 ; 0.0004959 ; 0.00117475 ; 12.4
0.8 ; 51.2 ; 0 ; 0.00072715 ; 0.00293745 ; 0.0036646 ; 11.75
0.85 ; 54.4 ; 0 ; 0.00112765 ; 0.00198195 ; 0.0031096 ; 10.35
0.9 ; 57.6 ; 0 ; 0.0013815 ; 0.00125465 ; 0.00263615 ; 8.65
0.95 ; 60.8 ; 0 ; 0.00190885 ; 0.00056895 ; 0.0024778 ; 6.75
1 ; 64 ; 0 ; 0.0026278 ; 3.535e-05 ; 0.00266315 ; 1
