prob ; n minterms f ; n minterms d ; prime comp, time ; min cover comp, time ; total time ; sol, size
0,05 ; 3,2 ; 0 ; 6,4e-06 ; 6,2e-06 ; 1,26e-05 ; 2,65
0,1 ; 6,4 ; 0 ; 2,52e-05 ; 1,245e-05 ; 3,765e-05 ; 4,65
0,15 ; 9,6 ; 0 ; 5,45e-05 ; 2,06e-05 ; 7,51e-05 ; 7,45
0,2 ; 12,8 ; 0 ; 9,97e-05 ; 2,615e-05 ; 0,00012585 ; 8,7
0,25 ; 16 ; 0 ; 0,0001454 ; 4,755e-05 ; 0,00019295 ; 10,8
0,3 ; 19,2 ; 0 ; 0,00054375 ; 0,0001108 ; 0,00065455 ; 10,95
0,35 ; 22,4 ; 0 ; 0,00057255 ; 0,0001212 ; 0,00069375 ; 12,45
0,4 ; 25,6 ; 0 ; 0,0004842 ; 9,105e-05 ; 0,00057525 ; 12,1
0,45 ; 28,8 ; 0 ; 0,00072435 ; 0,00016005 ; 0,0008844 ; 13,3
0,5 ; 32 ; 0 ; 0,00088305 ; 0,0001676 ; 0,00105065 ; 14,2
0,55 ; 35,2 ; 0 ; 0,0010046 ; 0,00020625 ; 0,00121085 ; 13,7
0,6 ; 38,4 ; 0 ; 0,00130805 ; 0,0003219 ; 0,00162995 ; 14,1
0,65 ; 41,6 ; 0 ; 0,0016211 ; 0,00033135 ; 0,00195245 ; 13,95
0,7 ; 44,8 ; 0 ; 0,002134 ; 0,0017492 ; 0,0038832 ; 12,6
0,75 ; 48 ; 0 ; 0,0020999 ; 0,00045895 ; 0,00255885 ; 12,4
0,8 ; 51,2 ; 0 ; 0,0025111 ; 0,0036761 ; 0,0061872 ; 11,75
0,85 ; 54,4 ; 0 ; 0,00253925 ; 0,00156005 ; 0,0040993 ; 10,35
0,9 ; 57,6 ; 0 ; 0,0022827 ; 0,0019537 ; 0,0042364 ; 8,65
0,95 ; 60,8 ; 0 ; 0,00161905 ; 0,0005755 ; 0,00219455 ; 6,75
1 ; 64 ; 0 ; 0,00088325 ; 2,195e-05 ; 0,0009052 ; 1
